iter	RMSE
203	0.5924834033
204	0.5922563013
205	0.5921236414
206	0.5918999335
207	0.5918277142
208	0.5917073483
209	0.5915258614
210	0.5914278619
211	0.5913699983
212	0.5910812108
213	0.5907141453
214	0.5905706242
215	0.5904860488
216	0.5903814988
217	0.5899860826
218	0.5898636485
219	0.5897392149
220	0.5895758265
221	0.5894219975
222	0.5892869685
223	0.5891551767
224	0.5887751017
225	0.5887135115
226	0.5885706656
227	0.5883136369
228	0.5881943583
229	0.5880519081
230	0.58795144
231	0.5878047047
232	0.5876379706
233	0.5875653791
234	0.587464372
235	0.5873071024
236	0.5872333805
237	0.5869965562
238	0.5867002944
239	0.5865802897
240	0.5864156508
241	0.5862361303
242	0.5861268186
243	0.5860172764
244	0.5858946355
245	0.5857623129
246	0.5856652296
247	0.5855591049
248	0.5854525681
249	0.5851900183
250	0.5849297569
251	0.5848303901
252	0.5846895723
253	0.5845960897
254	0.5845238533
255	0.5843377075
256	0.5841967769
257	0.5840605853
258	0.5838193482
259	0.5836146119
260	0.5834513891
261	0.583368628
262	0.5832718286
263	0.5831431057
264	0.5829900152
265	0.5827949743
266	0.5825651903
267	0.5823785138
268	0.5822630665
269	0.5821148217
270	0.581982959
271	0.5818764828
272	0.5818001387
273	0.5816884263
274	0.5815632102
275	0.5813612235
276	0.5812514098
277	0.5811484947
278	0.5810446046
279	0.5808468254
280	0.5807325259
281	0.580652288
282	0.580567153
283	0.5804469244
284	0.5803811699
285	0.580246162
286	0.5801422519
287	0.5799443481
288	0.5798643839
289	0.5797099937
290	0.5796373082
291	0.5795510643
292	0.5794036685
293	0.5791273715
294	0.5789975358
295	0.5788800323
296	0.5787958547
297	0.5786578844
298	0.578566645
299	0.5783084251
300	0.5781914817
301	0.5780719217
302	0.5780113686
303	0.5779181818
304	0.5778438493
305	0.5777434762
306	0.5776412961
307	0.577481885
308	0.5773755642
309	0.5772745278
310	0.5770377666
311	0.5768988904
312	0.5767642697
313	0.5766822598
314	0.5765543487
315	0.5764936722
316	0.5763573886
317	0.5762105164
318	0.5761639244
319	0.5759914069
320	0.5758083159
321	0.5757486852
322	0.5757009762
323	0.5755939125
324	0.5755021644
325	0.5754126259
326	0.5753266357
327	0.5752562398
328	0.5751482795
329	0.5750282828
330	0.5749066252
331	0.5747829562
332	0.5746294993
333	0.5744908694
334	0.5743932104
335	0.5743173183
336	0.5742427084
337	0.5741223501
338	0.5740562196
339	0.5738946518
340	0.5738068573
341	0.5737288238
342	0.5736802051
343	0.5736046499
344	0.5734899259
345	0.5733569743
346	0.5732524922
347	0.5731730835
348	0.573116681
349	0.5729916631
350	0.5729259226
351	0.5728600965
352	0.5726205051
353	0.5723356058
354	0.572245818
355	0.5721268049
356	0.5720633776
357	0.5719369075
358	0.5718563387
359	0.5716684601
360	0.5715638209
361	0.571483412
362	0.5714202831
363	0.5712523852
364	0.5710613637
365	0.5710125482
366	0.5709496247
367	0.5708655717
368	0.5707623649
369	0.5706965177
370	0.570580728
371	0.5704293244
372	0.5703643208
373	0.5702532508
374	0.5701692108
375	0.5700777479
376	0.5700176212
377	0.5699781429
378	0.5698964619
379	0.5697942751
380	0.5695960195
381	0.5695131978
382	0.5694196854
383	0.5692868199
384	0.5691816666
385	0.5690758646
386	0.5689997908
387	0.5688361279
388	0.568755363
389	0.5686243317
390	0.5685624485
391	0.5685237986
392	0.5684414461
393	0.5683860287
394	0.5682994924
395	0.5682097211
396	0.5681439319
397	0.5680441231
398	0.5679796594
399	0.5679215882
400	0.567861353
401	0.5678093909
402	0.567780148
403	0.5676950189
404	0.5675885716
405	0.5675410499
406	0.5674283384
407	0.5673594214
